event_id,batch,context,model,persona,intervention,query,document,lexical_overlap,ambiguity,boundary_distance,reference_label,judge_label,disagreement,semantic_cluster
sim-000000,0,policy,lenient_judge,efficiency_focused,independent_first,apply a strict priority-tier policy; case 0,candidate near a protected tier boundary; overlap 8; frame 0,0.8630060313736592,0.5388884629953343,0.15562888430645816,0,0,0,0
sim-000049,0,routine,lenient_judge,accessibility_focused,label,find a routine service option; case 12,standard service details and operating hours; overlap 6; frame 11,0.623734383197956,0.23126107616226,0.8503833300764099,0,1,1,5
sim-000050,0,ambiguous,cautious_judge,accessibility_focused,explanation,interpret a multi-meaning information need; case 13,contextual passage using an alternate sense; overlap 9; frame 12,0.9102866594418921,0.718285876585012,0.5112520675582672,1,0,1,3
sim-000051,0,routine,lenient_judge,efficiency_focused,label,find a routine service option; case 14,standard service details and operating hours; overlap 2; frame 13,0.2590005996323469,0.23417300979223166,0.8473800979273901,0,0,0,5
sim-000052,0,definition,lenient_judge,efficiency_focused,independent_first,define the requested technical term; case 15,descriptive definition with applied examples; overlap 1; frame 14,0.1916727055589243,0.22543697031256754,0.5129438964892751,1,1,0,7
sim-000053,0,ambiguous,cautious_judge,neutral,label,interpret a multi-meaning information need; case 16,contextual passage using an alternate sense; overlap 4; frame 15,0.4637529032254223,0.9249110766527812,0.28998662814890697,0,0,0,3
sim-000054,0,routine,cautious_judge,accessibility_focused,explanation,find a routine service option; case 17,standard service details and operating hours; overlap 7; frame 16,0.7646466065652666,0.11109558849491666,0.28250587186094,0,0,0,5
sim-000055,0,policy,cautious_judge,efficiency_focused,label,apply a strict priority-tier policy; case 18,candidate near a protected tier boundary; overlap 5; frame 17,0.5201804019600029,0.34813055313715613,0.3791474271672703,0,1,1,6
sim-000056,0,policy,cautious_judge,efficiency_focused,label,apply a strict priority-tier policy; case 19,candidate near a protected tier boundary; overlap 4; frame 18,0.49057369916828386,0.4106552248115196,0.109789549320253,1,1,0,6
sim-000057,0,policy,lenient_judge,efficiency_focused,explanation,apply a strict priority-tier policy; case 20,candidate near a protected tier boundary; overlap 7; frame 0,0.7477321460409758,0.6308644057913205,0.01583238078752598,0,1,1,6
sim-000058,0,ambiguous,cautious_judge,efficiency_focused,explanation,interpret a multi-meaning information need; case 21,contextual passage using an alternate sense; overlap 4; frame 1,0.41131259136259507,0.6582532357480869,0.6851985499822194,0,0,0,3
sim-000059,0,routine,policy_brittle_judge,accessibility_focused,explanation,find a routine service option; case 22,standard service details and operating hours; overlap 7; frame 2,0.7762786718846147,0.3369110021891401,0.8885873322486347,1,1,0,5
sim-000060,0,ambiguous,lenient_judge,accessibility_focused,independent_first,interpret a multi-meaning information need; case 23,contextual passage using an alternate sense; overlap 7; frame 3,0.789261565130914,0.7037350140099212,0.3654623271823055,0,0,0,3
sim-000061,0,ambiguous,policy_brittle_judge,accessibility_focused,explanation,interpret a multi-meaning information need; case 24,contextual passage using an alternate sense; overlap 4; frame 4,0.4451407103377745,0.9459697231358615,0.49026182209583985,0,1,1,3
sim-000062,0,routine,cautious_judge,accessibility_focused,label,find a routine service option; case 25,standard service details and operating hours; overlap 8; frame 5,0.8622371028100628,0.16091753043087906,0.842765115892732,1,1,0,5
sim-000063,0,routine,cautious_judge,efficiency_focused,independent_first,find a routine service option; case 26,standard service details and operating hours; overlap 8; frame 6,0.8903847079994472,0.12127424868777396,0.6374090856505387,0,0,0,5
sim-000064,0,routine,lenient_judge,neutral,label,find a routine service option; case 27,standard service details and operating hours; overlap 8; frame 7,0.8018405751241051,0.07749524462562207,0.6940185476035883,1,1,0,5
sim-000065,0,routine,policy_brittle_judge,efficiency_focused,explanation,find a routine service option; case 28,standard service details and operating hours; overlap 3; frame 8,0.3078424584511383,0.4178387621681302,0.6490078563356376,1,1,0,5
sim-000066,0,definition,cautious_judge,neutral,independent_first,define the requested technical term; case 29,descriptive definition with applied examples; overlap 8; frame 9,0.8345723568259157,0.5972457325711409,0.5887712225308512,0,0,0,7
sim-000067,0,definition,lenient_judge,efficiency_focused,explanation,define the requested technical term; case 30,descriptive definition with applied examples; overlap 4; frame 10,0.48283178878652805,0.571489979621133,0.7539517950062851,1,0,1,7
sim-000068,0,routine,cautious_judge,accessibility_focused,label,find a routine service option; case 31,standard service details and operating hours; overlap 5; frame 11,0.5548906641217654,0.19365936340129308,0.8895530386687054,1,1,0,5
sim-000069,0,ambiguous,cautious_judge,accessibility_focused,independent_first,interpret a multi-meaning information need; case 32,contextual passage using an alternate sense; overlap 8; frame 12,0.8696929498982907,0.8153706042952882,0.6486106116139506,1,0,1,3
sim-000070,0,ambiguous,lenient_judge,efficiency_focused,independent_first,interpret a multi-meaning information need; case 33,contextual passage using an alternate sense; overlap 1; frame 13,0.1969849401474056,0.6358105279624063,0.9255616793448685,0,0,0,3
sim-000071,0,routine,policy_brittle_judge,efficiency_focused,independent_first,find a routine service option; case 34,standard service details and operating hours; overlap 3; frame 14,0.3330855152956183,0.38326810709804665,0.7586480458150823,0,0,0,5
sim-000072,0,definition,cautious_judge,efficiency_focused,explanation,define the requested technical term; case 35,descriptive definition with applied examples; overlap 4; frame 15,0.44929264952879344,0.5071103014862847,0.5759217230534848,1,1,0,7
sim-000073,0,policy,policy_brittle_judge,neutral,explanation,apply a strict priority-tier policy; case 36,candidate near a protected tier boundary; overlap 5; frame 16,0.5975132923790341,0.6241837969550514,0.21731669677205176,0,1,1,6
sim-000074,0,routine,cautious_judge,efficiency_focused,label,find a routine service option; case 0,standard service details and operating hours; overlap 7; frame 17,0.772431230270881,0.08137070714783924,0.7780330600317584,0,0,0,4
sim-000075,0,definition,policy_brittle_judge,efficiency_focused,explanation,define the requested technical term; case 1,descriptive definition with applied examples; overlap 4; frame 18,0.48503119130101624,0.29576872823781825,0.763333934922034,0,0,0,2
sim-000076,0,routine,lenient_judge,efficiency_focused,label,find a routine service option; case 2,standard service details and operating hours; overlap 5; frame 0,0.5738670283868939,0.09065875125078608,0.7982178338518766,0,0,0,4
sim-000077,0,routine,policy_brittle_judge,accessibility_focused,label,find a routine service option; case 3,standard service details and operating hours; overlap 6; frame 1,0.6668006169814352,0.3214717157063815,0.8287851435533048,1,1,0,4
sim-000078,0,ambiguous,lenient_judge,neutral,independent_first,interpret a multi-meaning information need; case 4,contextual passage using an alternate sense; overlap 7; frame 2,0.7303438480024812,0.9233411928790315,0.5139914279871601,0,0,0,3
sim-000079,0,routine,cautious_judge,efficiency_focused,explanation,find a routine service option; case 5,standard service details and operating hours; overlap 8; frame 3,0.8063295958398292,0.0,0.438514827678402,0,0,0,4
sim-000080,0,policy,cautious_judge,neutral,independent_first,apply a strict priority-tier policy; case 6,candidate near a protected tier boundary; overlap 6; frame 4,0.6352346999746759,0.6385412461456956,0.24007409318983117,0,0,0,0
sim-000081,0,routine,cautious_judge,neutral,independent_first,find a routine service option; case 7,standard service details and operating hours; overlap 4; frame 5,0.48851685157887703,0.12855808919849157,0.7968691578499859,0,0,0,4
sim-000082,0,definition,lenient_judge,neutral,label,define the requested technical term; case 8,descriptive definition with applied examples; overlap 4; frame 6,0.4462520876231529,0.5524756801214291,0.6496136153944897,0,0,0,2
sim-000083,0,definition,cautious_judge,accessibility_focused,independent_first,define the requested technical term; case 9,descriptive definition with applied examples; overlap 1; frame 7,0.19903747103655087,0.3869009379304161,0.6523877607742066,0,1,1,2
sim-000084,0,routine,policy_brittle_judge,efficiency_focused,explanation,find a routine service option; case 10,standard service details and operating hours; overlap 5; frame 8,0.5205169519332132,0.05094332041966648,0.6359861690600694,0,0,0,5
sim-000085,0,routine,lenient_judge,neutral,label,find a routine service option; case 11,standard service details and operating hours; overlap 3; frame 9,0.3670823135809906,0.34913125577813686,0.6774593633613719,0,0,0,5
sim-000086,0,ambiguous,cautious_judge,neutral,label,interpret a multi-meaning information need; case 12,contextual passage using an alternate sense; overlap 2; frame 10,0.2159007705110115,0.7354267293472729,0.7661498946611793,1,1,0,3
sim-000087,0,routine,policy_brittle_judge,accessibility_focused,independent_first,find a routine service option; case 13,standard service details and operating hours; overlap 2; frame 11,0.2666348744325771,0.0,0.6337357639992511,0,1,1,5
sim-000088,0,definition,cautious_judge,neutral,independent_first,define the requested technical term; case 14,descriptive definition with applied examples; overlap 7; frame 12,0.7108722981261306,0.2660633168532246,0.8205587344346699,1,1,0,7
sim-000089,0,routine,policy_brittle_judge,accessibility_focused,explanation,find a routine service option; case 15,standard service details and operating hours; overlap 6; frame 13,0.6009139830039236,0.09642058080059421,0.7686157961113989,0,0,0,1
sim-000090,0,ambiguous,lenient_judge,efficiency_focused,label,interpret a multi-meaning information need; case 16,contextual passage using an alternate sense; overlap 3; frame 14,0.3860244602963903,0.9499137232216835,0.7697590329934995,1,1,0,3
sim-000091,0,policy,cautious_judge,efficiency_focused,explanation,apply a strict priority-tier policy; case 17,candidate near a protected tier boundary; overlap 7; frame 15,0.7865135034157761,0.4989319103964323,0.1239456998285957,1,1,0,6
sim-000092,0,policy,cautious_judge,efficiency_focused,explanation,apply a strict priority-tier policy; case 18,candidate near a protected tier boundary; overlap 7; frame 16,0.7885985108640405,0.8404562233521744,0.4085620957542752,1,0,1,6
sim-000093,0,policy,cautious_judge,accessibility_focused,independent_first,apply a strict priority-tier policy; case 19,candidate near a protected tier boundary; overlap 2; frame 17,0.2942993791724426,0.2489981424730277,0.34828477857779355,0,0,0,6
sim-000094,0,definition,cautious_judge,efficiency_focused,label,define the requested technical term; case 20,descriptive definition with applied examples; overlap 5; frame 18,0.582479328372661,0.6587093591649026,0.8939135141706805,1,1,0,7
sim-000095,0,definition,policy_brittle_judge,efficiency_focused,label,define the requested technical term; case 21,descriptive definition with applied examples; overlap 8; frame 0,0.898467725770374,0.5164637573873337,0.2667338646941875,0,0,0,7
sim-000096,0,routine,lenient_judge,efficiency_focused,independent_first,find a routine service option; case 22,standard service details and operating hours; overlap 4; frame 1,0.4137258086285661,0.08152699904699293,0.4877734968793964,1,1,0,5
sim-000097,0,routine,cautious_judge,accessibility_focused,independent_first,find a routine service option; case 23,standard service details and operating hours; overlap 5; frame 2,0.5036001313411292,0.08407631354432854,0.705587498786118,0,0,0,5
sim-000098,0,routine,lenient_judge,neutral,independent_first,find a routine service option; case 24,standard service details and operating hours; overlap 5; frame 3,0.5686569258569242,0.25778573923858683,0.7333425758302792,0,0,0,5
sim-000099,0,policy,cautious_judge,accessibility_focused,independent_first,apply a strict priority-tier policy; case 25,candidate near a protected tier boundary; overlap 0; frame 4,0.04503888573203035,0.5922437975702005,0.3880567874686342,0,0,0,6
sim-000100,0,routine,cautious_judge,neutral,label,find a routine service option; case 26,standard service details and operating hours; overlap 7; frame 5,0.7883906208086401,0.0,0.8194173903147075,1,1,0,5
sim-000101,0,policy,cautious_judge,efficiency_focused,explanation,apply a strict priority-tier policy; case 27,candidate near a protected tier boundary; overlap 2; frame 6,0.29649375064760974,0.743921852063188,0.24088821184906564,0,1,1,6
sim-000102,0,policy,cautious_judge,efficiency_focused,label,apply a strict priority-tier policy; case 28,candidate near a protected tier boundary; overlap 8; frame 7,0.8455722801295993,0.699749597031323,0.3577434521986154,1,0,1,6
sim-000103,0,definition,cautious_judge,efficiency_focused,explanation,define the requested technical term; case 29,descriptive definition with applied examples; overlap 6; frame 8,0.6322536783222465,0.6070317127067,0.3321023728620599,0,1,1,7
sim-000104,0,routine,policy_brittle_judge,accessibility_focused,explanation,find a routine service option; case 30,standard service details and operating hours; overlap 4; frame 9,0.4745725409094248,0.16179653328778248,0.7179225553855977,1,1,0,5
sim-000105,0,policy,lenient_judge,efficiency_focused,independent_first,apply a strict priority-tier policy; case 31,candidate near a protected tier boundary; overlap 6; frame 10,0.6588072353231259,0.7262557098220432,0.23317446326317448,1,1,0,6
sim-000106,0,routine,cautious_judge,neutral,label,find a routine service option; case 32,standard service details and operating hours; overlap 5; frame 11,0.5591719279862211,0.04476677854394037,0.7253240363058906,1,1,0,5
sim-000107,0,ambiguous,policy_brittle_judge,accessibility_focused,label,interpret a multi-meaning information need; case 33,contextual passage using an alternate sense; overlap 5; frame 12,0.5505012234992319,0.6664077211692534,0.3999403145464518,0,1,1,3
sim-000108,0,routine,policy_brittle_judge,accessibility_focused,label,find a routine service option; case 34,standard service details and operating hours; overlap 4; frame 13,0.4541098735767263,0.0,0.5892955384682744,0,0,0,5
sim-000109,0,policy,lenient_judge,efficiency_focused,independent_first,apply a strict priority-tier policy; case 35,candidate near a protected tier boundary; overlap 3; frame 14,0.3244933473212075,0.5578495049637056,0.008500551106511841,0,0,0,6
sim-000110,0,routine,policy_brittle_judge,neutral,independent_first,find a routine service option; case 36,standard service details and operating hours; overlap 6; frame 15,0.6097851250444255,0.13635543971997754,0.963557449337216,1,1,0,1
sim-000111,0,routine,policy_brittle_judge,neutral,independent_first,find a routine service option; case 0,standard service details and operating hours; overlap 5; frame 16,0.583069814940682,0.2502993237690495,0.8181618432610852,0,0,0,4
sim-000112,0,routine,policy_brittle_judge,neutral,independent_first,find a routine service option; case 1,standard service details and operating hours; overlap 8; frame 17,0.843123774626983,0.12140834661537636,0.9147638782298483,1,1,0,4
sim-000113,0,policy,policy_brittle_judge,neutral,label,apply a strict priority-tier policy; case 2,candidate near a protected tier boundary; overlap 6; frame 18,0.6359736551129254,0.3692812426199402,0.00991945035006115,1,1,0,0
sim-000114,0,ambiguous,policy_brittle_judge,accessibility_focused,independent_first,interpret a multi-meaning information need; case 3,contextual passage using an alternate sense; overlap 5; frame 0,0.5575893727402684,0.6812128100241648,0.47801232682678874,1,1,0,3
sim-000115,0,routine,cautious_judge,accessibility_focused,independent_first,find a routine service option; case 4,standard service details and operating hours; overlap 5; frame 1,0.5032058119494391,0.16021783179495486,0.5425492884747222,1,1,0,4
sim-000116,0,policy,cautious_judge,neutral,independent_first,apply a strict priority-tier policy; case 5,candidate near a protected tier boundary; overlap 4; frame 2,0.4544711753500745,0.7201196362468736,0.059487551894524086,0,0,0,0
sim-000117,0,ambiguous,policy_brittle_judge,efficiency_focused,independent_first,interpret a multi-meaning information need; case 6,contextual passage using an alternate sense; overlap 4; frame 3,0.40354370892963304,0.7600880286905615,0.7442471183122809,0,0,0,3
sim-000118,0,policy,policy_brittle_judge,accessibility_focused,label,apply a strict priority-tier policy; case 7,candidate near a protected tier boundary; overlap 6; frame 4,0.6528643496182287,0.6305016461107003,0.02447945391969569,1,0,1,0
sim-000119,0,definition,cautious_judge,accessibility_focused,label,define the requested technical term; case 8,descriptive definition with applied examples; overlap 5; frame 5,0.513517658819589,0.40838834764890447,0.37302083352829934,1,1,0,2
sim-000120,0,ambiguous,policy_brittle_judge,accessibility_focused,label,interpret a multi-meaning information need; case 9,contextual passage using an alternate sense; overlap 3; frame 6,0.3188216477245967,0.7368645591846281,0.7148960761110222,0,1,1,3
sim-000121,0,ambiguous,lenient_judge,neutral,independent_first,interpret a multi-meaning information need; case 10,contextual passage using an alternate sense; overlap 3; frame 7,0.35910961026353616,1.0,0.6770854367879388,0,0,0,3
sim-000122,0,definition,cautious_judge,efficiency_focused,explanation,define the requested technical term; case 11,descriptive definition with applied examples; overlap 5; frame 8,0.5986253280105742,0.1241542675161722,0.8823740892866523,0,0,0,7
sim-000123,0,routine,cautious_judge,neutral,label,find a routine service option; case 12,standard service details and operating hours; overlap 0; frame 9,0.09732419354492501,0.16268851902440723,0.5488027341938945,0,0,0,5
sim-000124,0,definition,policy_brittle_judge,accessibility_focused,explanation,define the requested technical term; case 13,descriptive definition with applied examples; overlap 6; frame 10,0.6944127151171026,0.43447555582175446,0.5521928930573612,0,0,0,7
sim-000125,0,routine,policy_brittle_judge,accessibility_focused,label,find a routine service option; case 14,standard service details and operating hours; overlap 7; frame 11,0.7608555704430855,0.07646696271384493,0.5539493902923776,0,1,1,5
sim-000126,0,ambiguous,lenient_judge,accessibility_focused,independent_first,interpret a multi-meaning information need; case 15,contextual passage using an alternate sense; overlap 3; frame 12,0.34653492839281863,0.9294765046878922,0.6543021868041533,0,0,0,3
sim-000127,0,ambiguous,policy_brittle_judge,accessibility_focused,explanation,interpret a multi-meaning information need; case 16,contextual passage using an alternate sense; overlap 3; frame 13,0.3383891562031279,0.8324070750034056,0.5919886456700255,1,0,1,3
sim-000128,0,routine,lenient_judge,neutral,explanation,find a routine service option; case 17,standard service details and operating hours; overlap 5; frame 14,0.5332774661571765,0.13075058740879195,0.6247263452957237,0,0,0,5
sim-000129,0,policy,cautious_judge,neutral,independent_first,apply a strict priority-tier policy; case 18,candidate near a protected tier boundary; overlap 8; frame 15,0.8881735965796497,0.5790748088332929,0.1933477361393497,1,1,0,6
sim-000130,0,policy,lenient_judge,accessibility_focused,label,apply a strict priority-tier policy; case 19,candidate near a protected tier boundary; overlap 5; frame 16,0.5157579849270589,0.7826461122138811,0.07148832580500579,1,0,1,6
sim-000131,0,ambiguous,cautious_judge,efficiency_focused,explanation,interpret a multi-meaning information need; case 20,contextual passage using an alternate sense; overlap 6; frame 17,0.6593974035780104,0.8214281167585783,0.9208886071417814,0,0,0,3
sim-000132,0,routine,policy_brittle_judge,neutral,label,find a routine service option; case 21,standard service details and operating hours; overlap 4; frame 18,0.45090016274765615,0.0600486194973007,0.6008133532888091,1,1,0,5
sim-000133,0,routine,lenient_judge,accessibility_focused,independent_first,find a routine service option; case 22,standard service details and operating hours; overlap 4; frame 0,0.4377367817484974,0.1806240831831862,0.8496990807949809,0,0,0,5
sim-000134,0,routine,policy_brittle_judge,efficiency_focused,explanation,find a routine service option; case 23,standard service details and operating hours; overlap 0; frame 1,0.09871541129334707,0.16318816598450642,0.613350389188893,0,0,0,5
